activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
7887,0,566,95,100,100,10459,340
5147,1,491,94,100,100,6611,306
5743,1,478,97,100,95,7279,354
6836,1,544,95,100,95,8907,312
5000,0,454,98,100,100,6358,224
5015,1,638,93,100,95,6590,287
7360,0,413,95,100,100,10039,494
7428,0,406,92,100,100,9314,302
4664,0,506,93,100,100,6602,242
5713,0,501,94,100,100,7205,303
5618,0,418,91,100,100,7519,299
4204,0,548,90,100,100,5889,206
6259,0,413,94,100,100,8636,244
4517,1,516,93,95,100,6076,208
6342,0,494,94,95,100,8546,221
7321,0,386,93,95,100,10058,270
4058,0,570,83,78,95,5846,193
6139,3,527,90,78,95,7776,243
6592,0,529,95,95,100,8674,267
6456,0,534,94,95,100,9227,245
8164,1,493,72,100,100,10385,272
4412,0,538,79,95,100,6177,223
5120,0,494,79,95,95,7205,189
5839,0,526,80,95,100,7741,245
7804,0,542,94,95,100,10030,274
8522,0,631,92,95,95,11396,264
949,0,531,90,78,100,1850,104
1714,0,94,86,60,100,2324,59
15100,13,548,95,95,100,14899,490
16082,15,435,97,95,100,16304,521
15527,7,431,93,95,78,15482,526
8410,5,552,93,100,100,9879,440
14429,5,402,93,100,100,15224,536
12503,5,489,97,100,95,12423,483
15436,14,416,98,100,100,16219,542
16848,12,426,95,100,100,17447,582
11083,4,616,90,100,100,11243,387
15052,8,510,88,100,100,15233,581
12019,11,330,88,100,100,12907,463
15318,7,463,75,100,100,16380,544
16530,12,357,75,100,100,16322,562
17302,4,355,75,100,100,18418,649
12032,8,431,74,100,100,12048,415
13545,7,473,73,100,100,13389,475
14019,10,493,72,100,100,14050,487
14028,10,350,75,100,100,13930,515
17837,15,439,74,100,100,17872,569
18432,12,429,74,100,100,18783,605
15351,16,437,74,100,100,15722,535
15509,10,464,73,100,100,15931,554
14807,10,400,74,100,100,14754,490
17156,9,401,74,100,100,16423,557
11381,7,683,69,100,100,11626,414
15914,15,349,75,100,100,15288,488
15598,14,472,73,100,100,15705,489
16019,16,332,75,100,100,16372,518
19243,21,309,75,100,100,19091,626
14572,7,386,74,100,95,14873,509
14627,8,400,74,100,100,15097,540
16034,14,435,74,100,100,15831,592
17386,16,401,74,100,100,17272,486
18522,17,382,74,100,100,18699,621
11390,8,378,74,100,100,10674,362
19615,16,408,74,100,100,19849,589
19009,13,403,74,100,100,18821,584
14816,10,380,74,100,100,14489,509
15896,16,405,74,100,100,15546,554
16933,19,457,73,100,100,16211,526
16142,14,437,74,100,100,16422,552
14307,7,374,74,100,100,14665,474
18897,19,355,75,100,100,19446,640
16508,9,362,75,100,100,16426,576
13767,7,363,75,100,100,13382,467
16125,14,418,74,100,100,15845,532
13180,7,478,82,100,100,13641,544
16837,9,388,74,100,100,17295,631
12938,7,362,75,100,100,13654,500
15547,9,455,73,100,100,16149,608
13219,7,441,73,100,100,12765,504
13574,8,362,75,100,100,13771,499
15336,8,413,74,100,100,15091,535
16991,13,395,74,100,100,16435,606
12632,9,381,74,100,100,12426,450
14645,12,403,74,100,100,14143,527
15273,8,461,73,100,100,15796,562
13972,8,307,75,100,100,13742,504
16000,16,372,74,100,100,15623,548
15882,11,422,74,100,100,15134,535
13425,13,310,75,100,100,12810,417
15449,12,388,74,100,100,14538,506
16302,10,324,75,100,100,15711,535
13844,9,374,74,100,100,14300,483
15638,12,429,74,100,100,15296,539
15809,12,376,74,100,100,15833,585
12085,4,388,84,100,100,13067,460
10990,9,466,82,100,95,10670,449
